component	level	definition	detection	orientation	containment	symbol	status
integron_5cs	atomic_region	Class-1 integron 5-prime conserved segment, with variants such as 5CS_GGG distinguished.	Exact/partial curated sequence match.	Runs towards attI and opposite intI.	Part of a class-1 integron.	conserved_segment	detected
integron_3cs	atomic_region	Class-1 integron 3-prime conserved segment including qacEdelta1 and sul1 where present; not terminated automatically at qacEdelta1.	Exact/partial curated sequence match plus downstream structural evidence.	Runs away from the cassette array.	Part of a class-1 integron and may connect to downstream modules.	conserved_segment	detected
terminal_inverted_repeat	atomic_boundary	Named element end such as IRL, IRR, IRi, IRt, IRalt or a subterminal IS1111-family IR.	Exact/near-exact end motif with element-specific length and positional support.	Name and flat flag side preserve which outer boundary is represented.	Boundary child of the element it delimits; fragments remain explicit.	ir_flag	partially_detected
direct_repeat	atomic_boundary	Target-site duplication/direct repeat with exact sequence, length and evidence state.	Equal flanking sequence at candidate boundaries using element-specific length and tolerated offsets.	Unstranded paired boundary evidence.	Associated with the transposition event, never used alone to assign element identity.	dr_lollipop	detected
resolution_site	atomic_site	Recombination/resolution site, retaining resI, resII and resIII subsites when resolved.	Curated nucleotide reference and expected position relative to tnpR/tnpA.	Element-relative orientation.	Part of a Tn3-family or Tn402-type transposition module.	res_site	partially_detected
insertion_sequence	compound_unit	Exact named IS comprising its transposase region and characteristic ends; family-level labels are insufficient for structural inference.	Exact/variant reference match plus end evidence; incomplete copies retain fragment state.	Transposase direction; block arrow points to IRR.	May interrupt another element or delimit a composite/pseudo-compound structure.	is_block_arrow	partially_detected
group_II_intron	compound_unit	Named mobile group-II intron, separate from insertion sequences.	Exact intron or reverse-transcriptase reference.	Reverse-transcriptase coding direction.	May interrupt genes or mobile elements.	intron_block_arrow	reference_needed
ISCR	compound_unit	Insertion-sequence-common-region element using rolling-circle transposition and lacking conventional paired IR/DR boundaries.	Exact rcr/ISCR reference plus oriIS and terIS evidence.	rcr direction and oriIS-to-terIS relationship.	May be associated with an adjacent captured segment.	iscr_block_arrow	partially_detected
oriIS	atomic_site	ISCR rolling-circle origin site.	ISCR-family-specific motif and position relative to rcr.	Defines the origin side of an ISCR capture unit.	Child of ISCR or an ISCR capture structure.	site_marker	reference_needed
terIS	atomic_site	ISCR rolling-circle termination site, which may be inefficient and permit adjacent DNA capture.	Family-specific termination motif with structural context.	Defines the termination/capture side.	Child of ISCR or an ISCR capture structure.	site_marker	partially_detected
captured_segment	atomic_region	Adjacent sequence mobilised with ISEcp1, ISCR or another one-ended capture mechanism.	Boundaries derived from IRR/IRalt or oriIS/terIS plus cargo and DR evidence.	Follows the capture element's active end.	Child of a TPU/capture unit; must not be absorbed into an unrelated adjacent transposon.	captured_region	partially_detected
interruption	relation_event	A feature inserted into and breaking the collinearity of a host feature.	Split host-reference alignment plus an intervening feature or unclassified sequence.	Records host and inserted-feature orientations independently.	Links the interrupted host pieces and inserted feature without deleting either.	jagged_insertion	detected
annotation_gap	atomic_region	Unannotated sequence longer than 50 bp between known features.	Coordinate subtraction after all accepted features are placed.	Unstranded.	Gap within the current locus; not a biological element call.	dashed_gap	detected
unknown_fragment	atomic_region	Recognisable fragment whose exact parent feature remains unresolved, including possible divergent or assembly-error sequence.	Significant partial match lacking diagnostic sequence or coherent boundaries.	Retained only when supported by the match.	May be nested in a region but cannot define a confident compound element.	fragment_block	partially_detected
replicon	atomic_region	Plasmid replication-initiator/replicon feature used to identify an outer plasmid backbone.	PlasmidFinder or curated replicon reference.	Coding direction when gene-based.	Plasmid backbone, not a core mobile-resistance component.	replicon_block	detected
oriV	atomic_site	Plasmid vegetative replication origin.	Replicon-specific motif/reference and positional context.	Replication-context dependent.	Plasmid backbone.	site_marker	reference_needed
oriT	atomic_site	Plasmid origin of transfer.	MOB-family-specific motif/reference and relaxase/conjugation context.	Transfer-context dependent.	Plasmid transfer/backbone region.	site_marker	reference_needed
plasmid_backbone_gene	atomic	Plasmid replication, maintenance, regulation, partition, conjugation or transfer gene.	Functional protein model and plasmid-context evidence.	Coding direction.	Plasmid backbone or transfer region.	gene_arrow	reference_needed
ncRNA	atomic	Named plasmid non-coding RNA feature.	Curated ncRNA model/reference.	Transcript direction when known.	Plasmid backbone or accessory region.	ncrna_block	reference_needed
plasmid_function_gene	atomic	Outer-layer plasmid gene assigned to conjugation, stress, metabolism, non-conjugative mobility, virulence/defence, toxin-antitoxin, metal/biocide resistance, antibiotic resistance or other function.	PlasAnn-style functional annotation with retained category and evidence.	Coding direction.	Plasmid backbone or accessory region; category does not itself imply mobility.	gene_arrow	reference_needed
